2025/05/10 12:30:57 [error] 15392#14376: *8409 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10118", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8407 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10117", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8407 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8412 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/export-log?page=1&per_page=25&blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10117", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8412 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/export-log?page=1&per_page=25&blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8416 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10117", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8416 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8418 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10117", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8418 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8409 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10117", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8414 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/is-running?_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10117", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
